,date,precipitation,temp_max,temp_min,wind
0,2012-01-01,0.0,12.8,5.0,4.7
1,2012-01-02,10.9,10.6,2.8,4.5
2,2012-01-03,0.8,11.7,7.2,2.3
3,2012-01-04,20.3,12.2,5.6,4.7
4,2012-01-05,1.3,8.9,2.8,6.1
5,2012-01-06,2.5,4.4,2.2,2.2
6,2012-01-07,0.0,7.2,2.8,2.3
7,2012-01-08,0.0,10.0,2.8,2.0
8,2012-01-09,4.3,9.4,5.0,3.4
9,2012-01-10,1.0,6.1,0.6,3.4
10,2012-01-11,0.0,6.1,-1.1,5.1
11,2012-01-12,0.0,6.1,-1.7,1.9
12,2012-01-13,0.0,5.0,-2.8,1.3
13,2012-01-14,4.1,4.4,0.6,5.3
14,2012-01-15,5.3,1.1,-3.3,3.2
15,2012-01-16,2.5,1.7,-2.8,5.0
16,2012-01-17,8.1,3.3,0.0,5.6
17,2012-01-18,19.8,0.0,-2.8,5.0
18,2012-01-19,15.2,-1.1,-2.8,1.6
19,2012-01-20,13.5,7.2,-1.1,2.3
20,2012-01-21,3.0,8.3,3.3,8.2
21,2012-01-22,6.1,6.7,2.2,4.8
22,2012-01-23,0.0,8.3,1.1,3.6
23,2012-01-24,8.6,10.0,2.2,5.1
24,2012-01-25,8.1,8.9,4.4,5.4
25,2012-01-26,4.8,8.9,1.1,4.8
26,2012-01-27,0.0,6.7,-2.2,1.4
27,2012-01-28,0.0,6.7,0.6,2.2
28,2012-01-29,27.7,9.4,3.9,4.5
29,2012-01-30,3.6,8.3,6.1,5.1
30,2012-01-31,1.8,9.4,6.1,3.9
31,2012-02-01,13.5,8.9,3.3,2.7
32,2012-02-02,0.0,8.3,1.7,2.6
33,2012-02-03,0.0,14.4,2.2,5.3
34,2012-02-04,0.0,15.6,5.0,4.3
35,2012-02-05,0.0,13.9,1.7,2.9
36,2012-02-06,0.0,16.1,1.7,5.0
37,2012-02-07,0.3,15.6,7.8,5.3
38,2012-02-08,2.8,10.0,5.0,2.7
39,2012-02-09,2.5,11.1,7.8,2.4
40,2012-02-10,2.5,12.8,6.7,3.0
41,2012-02-11,0.8,8.9,5.6,3.4
42,2012-02-12,1.0,8.3,5.0,1.3
43,2012-02-13,11.4,7.2,4.4,1.4
44,2012-02-14,2.5,6.7,1.1,3.1
45,2012-02-15,0.0,7.2,0.6,1.8
46,2012-02-16,1.8,7.2,3.3,2.1
47,2012-02-17,17.3,10.0,4.4,3.4
48,2012-02-18,6.4,6.7,3.9,8.1
49,2012-02-19,0.0,6.7,2.2,4.7
